IP:Port,Loss,Latency
188.114.96.196:7281,0%,23.94
188.114.99.58:7152,0%,23.98
162.159.195.67:2371,0%,24.03
162.159.192.173:4198,0%,24.05
162.159.195.139:908,0%,24.05
162.159.195.45:1843,0%,24.07
188.114.96.0:2408,0%,24.07
188.114.96.103:1010,0%,24.08
188.114.98.167:8854,0%,24.08
188.114.97.119:945,0%,24.10
188.114.99.239:2408,0%,24.11
188.114.96.81:8854,0%,24.11
162.159.195.208:987,0%,24.11
162.159.195.168:908,0%,24.11
188.114.98.45:968,0%,24.12
162.159.192.9:2506,0%,24.12
188.114.96.190:890,0%,24.13
188.114.97.72:880,0%,24.13
162.159.192.140:7559,0%,24.13
188.114.98.145:500,0%,24.14
162.159.195.3:1387,0%,24.14
188.114.97.69:4233,0%,24.14
162.159.192.251:7152,0%,24.14
188.114.99.192:894,0%,24.15
188.114.97.109:943,0%,24.15
188.114.98.126:3138,0%,24.15
188.114.96.165:4233,0%,24.15
188.114.96.142:1074,0%,24.16
188.114.99.9:2408,0%,24.16
188.114.96.119:945,0%,24.16
188.114.99.29:945,0%,24.16
188.114.98.181:2408,0%,24.17
188.114.96.228:1070,0%,24.17
188.114.96.148:4233,0%,24.17
162.159.195.3:968,0%,24.17
188.114.97.145:942,0%,24.17
162.159.192.101:1010,0%,24.17
188.114.99.167:8319,0%,24.17
162.159.195.160:7152,0%,24.17
188.114.99.96:4177,0%,24.18
188.114.97.25:7103,0%,24.18
188.114.98.116:3138,0%,24.19
188.114.98.212:890,0%,24.19
188.114.99.224:2506,0%,24.20
162.159.192.209:1010,0%,24.20
162.159.195.36:4500,0%,24.20
188.114.98.179:946,0%,24.20
188.114.96.60:1074,0%,24.20
188.114.98.222:4233,0%,24.21
188.114.97.9:3138,0%,24.21
188.114.96.170:880,0%,24.21
188.114.97.63:4198,0%,24.21
188.114.96.227:928,0%,24.21
188.114.99.127:891,0%,24.21
188.114.97.27:2506,0%,24.21
188.114.98.22:7156,0%,24.21
188.114.98.92:903,0%,24.21
188.114.98.59:4500,0%,24.21
188.114.99.251:946,0%,24.22
162.159.192.180:946,0%,24.22
188.114.98.158:1014,0%,24.22
188.114.96.224:7103,0%,24.22
162.159.195.107:500,0%,24.22
188.114.97.156:5279,0%,24.22
162.159.195.26:908,0%,24.22
188.114.99.233:968,0%,24.22
188.114.96.189:903,0%,24.22
188.114.98.60:7281,0%,24.22
162.159.192.102:1070,0%,24.22
188.114.98.121:894,0%,24.23
188.114.97.136:943,0%,24.23
188.114.97.165:3476,0%,24.23
188.114.99.225:1014,0%,24.23
188.114.97.110:5956,0%,24.23
162.159.195.20:2506,0%,24.23
162.159.192.27:945,0%,24.23
188.114.97.208:890,0%,24.23
162.159.192.56:1010,0%,24.23
162.159.195.103:908,0%,24.23
162.159.195.8:500,0%,24.23
162.159.195.206:8854,0%,24.23
188.114.99.187:7103,0%,24.23
188.114.98.145:3476,0%,24.23
188.114.96.46:1014,0%,24.24
188.114.99.61:891,0%,24.24
162.159.192.119:1843,0%,24.24
162.159.192.139:4500,0%,24.24
162.159.192.168:5279,0%,24.24
188.114.99.193:5956,0%,24.24
188.114.96.55:500,0%,24.24
162.159.192.75:7281,0%,24.25
162.159.195.168:4177,0%,24.25
162.159.192.209:1002,0%,24.25
188.114.97.227:7152,0%,24.25
162.159.192.114:943,0%,24.25
188.114.96.99:7559,0%,24.25
188.114.99.41:1387,0%,24.25
162.159.195.26:3476,0%,24.25
162.159.195.183:2371,0%,24.25
188.114.99.59:891,0%,24.25
188.114.99.3:934,0%,24.25
188.114.96.254:894,0%,24.25
188.114.99.193:890,0%,24.25
162.159.192.44:859,0%,24.25
188.114.96.239:955,0%,24.25
188.114.97.131:878,0%,24.26
162.159.192.93:955,0%,24.26
188.114.98.227:928,0%,24.26
162.159.195.108:4233,0%,24.26
188.114.98.36:1010,0%,24.26
162.159.195.141:2506,0%,24.26
188.114.96.171:946,0%,24.26
188.114.98.254:4500,0%,24.26
188.114.96.40:7152,0%,24.26
162.159.192.154:1074,0%,24.26
162.159.195.6:854,0%,24.26
162.159.192.26:859,0%,24.26
162.159.192.177:1002,0%,24.26
188.114.99.175:2408,0%,24.26
162.159.192.9:908,0%,24.26
188.114.96.227:8319,0%,24.26
162.159.192.85:878,0%,24.26
162.159.192.124:4500,0%,24.27
188.114.98.149:3138,0%,24.27
188.114.96.136:878,0%,24.27
162.159.192.171:943,0%,24.27
188.114.98.88:934,0%,24.27
162.159.195.39:500,0%,24.27
188.114.98.134:943,0%,24.27
188.114.99.221:1014,0%,24.27
188.114.99.108:1074,0%,24.27
188.114.96.56:1843,0%,24.27
162.159.192.247:7152,0%,24.27
188.114.97.43:5956,0%,24.27
188.114.98.203:1002,0%,24.28
188.114.99.180:1074,0%,24.28
188.114.97.185:934,0%,24.28
188.114.98.43:854,0%,24.28
162.159.195.30:864,0%,24.28
188.114.97.70:934,0%,24.28
162.159.192.41:890,0%,24.28
162.159.195.103:854,0%,24.28
162.159.195.249:934,0%,24.28
188.114.97.109:4198,0%,24.28
162.159.192.107:500,0%,24.28
188.114.97.239:1014,0%,24.28
162.159.195.122:8742,0%,24.28
162.159.195.202:878,0%,24.28
162.159.195.153:1843,0%,24.28
